"","Brewery","City","State","Beer","Style","ABV","IBU","Ounces"
"1","King Street Brewing Company","Anchorage"," AK","Amber Ale","American Amber / Red Ale",0.051,NA,12
"2","King Street Brewing Company","Anchorage"," AK","King Street Blonde Ale","American Blonde Ale",0.049,NA,12
"3","King Street Brewing Company","Anchorage"," AK","King Street Pilsner","Czech Pilsener",0.055,NA,12
"4","King Street Brewing Company","Anchorage"," AK","King Street IPA","American IPA",0.06,70,12
"5","King Street Brewing Company","Anchorage"," AK","King Street Hefeweizen","Hefeweizen",0.057,10,12
"6","Midnight Sun Brewing Company","Anchorage"," AK","Pleasure Town IPA","American IPA",0.063,61,12
"7","Midnight Sun Brewing Company","Anchorage"," AK","Kodiak Brown Ale","American Brown Ale",0.05,24,12
"8","Midnight Sun Brewing Company","Anchorage"," AK","Sockeye Red IPA","American IPA",0.057,70,12
"9","Midnight Sun Brewing Company","Anchorage"," AK","Snowshoe White Ale","Witbier",0.048,12,12
"10","Midnight Sun Brewing Company","Anchorage"," AK","Pleasure Town","American IPA",0.063,61,12
"11","Alaskan Brewing Company","Juneau"," AK","Alaskan Amber","Altbier",0.053,18,12
"12","Alaskan Brewing Company","Juneau"," AK","Freeride APA","American Pale Ale (APA)",0.053,40,12
"13","Denali Brewing Company","Talkeetna"," AK","Single Engine Red","Irish Red Ale",0.058,46,12
"14","Denali Brewing Company","Talkeetna"," AK","Chuli Stout","Irish Dry Stout",0.059,55,12
"15","Denali Brewing Company","Talkeetna"," AK","Mother Ale","American Blonde Ale",0.056,46,12
"16","Denali Brewing Company","Talkeetna"," AK","Twister Creek India Pale Ale","American IPA",0.065,71,12
"17","Kenai River Brewing Company","Soldotna"," AK","Skilak Scottish Ale","Scottish Ale",0.058,NA,12
"18","Kenai River Brewing Company","Soldotna"," AK","Peninsula Brewers Reserve (PBR)","American Blonde Ale",0.05,15,12
"19","Kenai River Brewing Company","Soldotna"," AK","Skilak Scottish Ale (2011)","Scottish Ale",0.058,NA,12
"20","Kenai River Brewing Company","Soldotna"," AK","Sunken Island IPA","American IPA",0.068,NA,12
"21","Broken Tooth Brewing Company","Anchorage"," AK","Chugach Session Ale","Cream Ale",0.048,NA,12
"22","Broken Tooth Brewing Company","Anchorage"," AK","Polar Pale Ale","American Pale Ale (APA)",0.052,17,12
"23","Broken Tooth Brewing Company","Anchorage"," AK","Northern Lights Amber Ale","American Amber / Red Ale",0.05,15,12
"24","Broken Tooth Brewing Company","Anchorage"," AK","Fairweather IPA","American IPA",0.061,64,12
"25","Sleeping Lady Brewing Company","Anchorage"," AK","Urban Wilderness Pale Ale","English Pale Ale",0.049,NA,12
"26","Back Forty Beer Company","Gadsden"," AL","Naked Pig Pale Ale","American Pale Ale (APA)",0.06,43,12
"27","Back Forty Beer Company","Gadsden"," AL","Truck Stop Honey Brown Ale","English Brown Ale",0.06,NA,12
"28","Straight to Ale","Huntsville"," AL","Monkeynaut IPA","American IPA",0.072,70,12
"29","Straight to Ale","Huntsville"," AL","Sand Island Lighthouse","Kölsch",0.051,25,12
"30","Straight to Ale","Huntsville"," AL","Lily Flagg Milk Stout","Milk / Sweet Stout",0.05,30,12
"31","Good People Brewing Company","Birmingham"," AL","Snake Handler Double IPA","American Double / Imperial IPA",0.093,103,12
"32","Good People Brewing Company","Birmingham"," AL","Good People Pale Ale","American Pale Ale (APA)",0.056,36,12
"33","Good People Brewing Company","Birmingham"," AL","Good People IPA","American IPA",0.06,64,12
"34","Good People Brewing Company","Birmingham"," AL","Good People American Brown Ale","American Brown Ale",0.058,36,12
"35","Good People Brewing Company","Birmingham"," AL","Coffee Oatmeal Stout","Oatmeal Stout",0.06,54,12
"36","Core Brewing & Distilling Company","Springdale"," AR","Arkansas Red","American Amber / Red Ale",0.052,NA,12
"37","Core Brewing & Distilling Company","Springdale"," AR","Core Oatmeal Stout","Oatmeal Stout",0.057,NA,12
"38","Core Brewing & Distilling Company","Springdale"," AR","Core ESB","Extra Special / Strong Bitter (ESB)",0.061,NA,12
"39","Core Brewing & Distilling Company","Springdale"," AR","Behemoth","American Pilsner",0.05,NA,12
"40","Ozark Beer Company","Rogers"," AR","Ozark American Pale Ale","American Pale Ale (APA)",0.04,39,12
"41","SanTan Brewing Company","Chandler"," AZ","Devil’s Ale","American Pale Ale (APA)",0.055,45,12
"42","SanTan Brewing Company","Chandler"," AZ","Sex Panther (2014)","American Porter",0.069,20,12
"43","SanTan Brewing Company","Chandler"," AZ","Mr. Pineapple","Fruit / Vegetable Beer",0.05,20,12
"44","SanTan Brewing Company","Chandler"," AZ","Count Hopula (Vault Series)","American Double / Imperial IPA",0.091,99,16
"45","SanTan Brewing Company","Chandler"," AZ","SanTan HefeWeizen","Hefeweizen",0.05,15,12
"46","SanTan Brewing Company","Chandler"," AZ","Supermonk I.P.A.","Belgian IPA",0.065,NA,12
"47","SanTan Brewing Company","Chandler"," AZ","Epicenter Amber Ale","American Amber / Red Ale",0.055,20,12
"48","SanTan Brewing Company","Chandler"," AZ","Hop Shock IPA","American IPA",0.07,85,12
"49","SanTan Brewing Company","Chandler"," AZ","I.W.A. (2011)","American Pale Wheat Ale",0.06,NA,12
"50","SanTan Brewing Company","Chandler"," AZ","Oktoberfest","Märzen / Oktoberfest",0.055,NA,12
"51","SanTan Brewing Company","Chandler"," AZ","Winter Warmer (Vault Series)","Winter Warmer",0.095,25,16
"52","SanTan Brewing Company","Chandler"," AZ","Rail Slide Imperial Spiced Ale","Herbed / Spiced Beer",0.081,NA,12
"53","SanTan Brewing Company","Chandler"," AZ","Sex Panther","American Porter",0.069,20,12
"54","SanTan Brewing Company","Chandler"," AZ","SanTan HefeWeizen (2010)","Hefeweizen",0.05,15,12
"55","SanTan Brewing Company","Chandler"," AZ","Epicenter Amber Ale (2010)","American Amber / Red Ale",0.055,20,12
"56","SanTan Brewing Company","Chandler"," AZ","SunSpot Golden Ale","American Blonde Ale",0.05,15,12
"57","SanTan Brewing Company","Chandler"," AZ","Hop Shock IPA (2010)","American IPA",0.07,85,12
"58","SanTan Brewing Company","Chandler"," AZ","Devil’s Ale (2010)","American Pale Ale (APA)",0.055,45,12
"59","SanTan Brewing Company","Chandler"," AZ","American Idiot Ale (2012)","American Pale Ale (APA)",0.055,45,12
"60","Phoenix Ale Brewery","Phoenix"," AZ","Camelback","American IPA",0.061,60,12
"61","Lumberyard Brewing Company","Flagstaff"," AZ","Lumberyard IPA","American IPA",0.061,NA,12
"62","Lumberyard Brewing Company","Flagstaff"," AZ","Lumberyard Red Ale","American Amber / Red Ale",0.058,NA,12
"63","Lumberyard Brewing Company","Flagstaff"," AZ","Knotty Pine","American Pale Ale (APA)",0.054,NA,12
"64","Lumberyard Brewing Company","Flagstaff"," AZ","Lumberyard Pilsner","American Pilsner",0.053,20,12
"65","Four Peaks Brewing Company","Tempe"," AZ","Kilt Lifter Scottish-Style Ale","",0.06,21,12
"66","Four Peaks Brewing Company","Tempe"," AZ","Pumpkin Porter","American Porter",0.051,NA,12
"67","Four Peaks Brewing Company","Tempe"," AZ","Hop Knot IPA","American IPA",0.067,47,12
"68","Four Peaks Brewing Company","Tempe"," AZ","Sunbru Kölsch","Kölsch",0.052,NA,12
"69","Four Peaks Brewing Company","Tempe"," AZ","Four Peaks Peach Ale","Fruit / Vegetable Beer",0.042,9,12
"70","Four Peaks Brewing Company","Tempe"," AZ","Kilt Lifter Scottish-Style Ale (2009)","Scottish Ale",0.06,21,12
"71","Four Peaks Brewing Company","Tempe"," AZ","Sunbru Kölsch","Kölsch",0.052,17,12
"72","Borderlands Brewing Company","Tucson"," AZ","Noche Dulce","American Porter",0.071,16,16
"73","College Street Brewhouse and Pub","Lake Havasu City"," AZ","Big Blue Van","Fruit / Vegetable Beer",0.058,NA,16
"74","Barrio Brewing Company","Tucson"," AZ","Barrio Tucson Blonde","American Blonde Ale",0.045,NA,12
"75","Barrio Brewing Company","Tucson"," AZ","Barrio Blanco","American IPA",0.06,60,12
"76","Mudshark Brewing Company","Lake Havasu City"," AZ","Dry Heat Hefeweizen (2006)","Hefeweizen",0.055,NA,12
"77","Mudshark Brewing Company","Lake Havasu City"," AZ","Full Moon Belgian White Ale (2007)","Witbier",0.085,NA,12
"78","Mudshark Brewing Company","Lake Havasu City"," AZ","Full Moon Belgian White Ale","Witbier",0.085,NA,12
"79","Mudshark Brewing Company","Lake Havasu City"," AZ","Up River Light","Light Lager",0.042,NA,12
"80","Mudshark Brewing Company","Lake Havasu City"," AZ","Desert Magic IPA","American IPA",0.072,NA,12
"81","Grand Canyon Brewing Company","Williams"," AZ","Black Iron India Pale Ale","American IPA",NA,NA,12
"82","Grand Canyon Brewing Company","Williams"," AZ","Grand Canyon American Pilsner","American Pilsner",0.052,NA,12
"83","Grand Canyon Brewing Company","Williams"," AZ","Grand Canyon Sunset Amber Ale","American Amber / Red Ale",0.054,NA,12
"84","Grand Canyon Brewing Company","Williams"," AZ","White Water Wheat","American Pale Wheat Ale",0.05,NA,12
"85","Prescott Brewing Company","Prescott"," AZ","Ponderosa IPA","American IPA",NA,NA,12
"86","Prescott Brewing Company","Prescott"," AZ","Liquid Amber Ale","American Amber / Red Ale",NA,NA,12
"87","Mogollon Brewing Company","Flagstaff"," AZ","Wapiti Amber Ale","American Amber / Red Ale",0.05,NA,12
"88","Mike Hess Brewing Company","San Diego"," CA","Jucundus","Wheat Ale",0.06,24,16
"89","Mike Hess Brewing Company","San Diego"," CA","Solis","American IPA",0.075,85,16
"90","Mike Hess Brewing Company","San Diego"," CA","Habitus","American Double / Imperial IPA",0.08,100,16
"91","Mike Hess Brewing Company","San Diego"," CA","Claritas","Kölsch",0.058,28,16
"92","Mike Hess Brewing Company","San Diego"," CA","Habitus (2014)","American Double / Imperial IPA",0.08,100,16
"93","Mike Hess Brewing Company","San Diego"," CA","Grazias","Cream Ale",0.063,30,16
"94","Fort Point Beer Company","San Francisco"," CA","Villager","American IPA",0.063,42,12
"95","Fort Point Beer Company","San Francisco"," CA","Westfalia","American Amber / Red Ale",0.056,16,12
"96","Fort Point Beer Company","San Francisco"," CA","KSA","Kölsch",0.046,17,12
"97","Fort Point Beer Company","San Francisco"," CA","Park","American Pale Wheat Ale",0.047,19,12
"98","The Dudes' Brewing Company","Torrance"," CA","Grandma's Pecan","English Brown Ale",0.069,34,16
"99","The Dudes' Brewing Company","Torrance"," CA","South Bay Session IPA","American IPA",0.05,NA,16
"100","The Dudes' Brewing Company","Torrance"," CA","Surfrider","American Pale Ale (APA)",0.052,35,16
"101","The Dudes' Brewing Company","Torrance"," CA","Double Trunk","American Double / Imperial IPA",0.099,101,16
"102","The Dudes' Brewing Company","Torrance"," CA","Kolschtal Eddy","Kölsch",0.055,NA,16
"103","Ballast Point Brewing Company","San Diego"," CA","Big Eye India Pale Ale","American IPA",0.07,75,12
"104","Ballast Point Brewing Company","San Diego"," CA","Even Keel","American IPA",0.038,40,12
"105","Ballast Point Brewing Company","San Diego"," CA","Longfin Lager","Munich Helles Lager",0.046,NA,12
"106","Ballast Point Brewing Company","San Diego"," CA","Ballast Point Pale Ale","Kölsch",0.052,23,12
"107","Ballast Point Brewing Company","San Diego"," CA","Grapefruit Sculpin","American IPA",0.07,NA,12
"108","Ballast Point Brewing Company","San Diego"," CA","Sculpin IPA","American IPA",0.07,70,12
"109","Anchor Brewing Company","San Francisco"," CA","Summer Wheat","American Pale Wheat Ale",0.045,NA,12
"110","Anchor Brewing Company","San Francisco"," CA","California Lager","American Amber / Red Lager",0.049,NA,12
"111","Anchor Brewing Company","San Francisco"," CA","IPA","American IPA",0.065,NA,12
"112","Anchor Brewing Company","San Francisco"," CA","Brotherhood Steam","California Common / Steam Beer",0.056,NA,12
"113","Anchor Brewing Company","San Francisco"," CA","Liberty Ale","American IPA",0.059,NA,12
"114","Figueroa Mountain Brewing Company","Buellton"," CA","FMB 101","Kölsch",0.048,20,12
"115","Figueroa Mountain Brewing Company","Buellton"," CA","Weiss Weiss Baby","Kristalweizen",0.045,NA,12
"116","Figueroa Mountain Brewing Company","Buellton"," CA","Czech Yo Self","Czech Pilsener",0.055,45,12
"117","Firestone Walker Brewing Company","Paso Robles"," CA","Pivo Pils","German Pilsener",0.053,NA,12
"118","Firestone Walker Brewing Company","Paso Robles"," CA","Union Jack","American IPA",0.075,75,12
"119","Firestone Walker Brewing Company","Paso Robles"," CA","805 Blonde Ale","American Blonde Ale",0.047,NA,12
"120","Firestone Walker Brewing Company","Paso Robles"," CA","Easy Jack","American IPA",0.045,47,12
"121","Firestone Walker Brewing Company","Paso Robles"," CA","805","American Blonde Ale",0.047,20,12
"122","Speakasy Ales & Lagers","San Francisco"," CA","Baby Daddy Session IPA","American IPA",0.047,35,12
"123","Sierra Nevada Brewing Company","Chico"," CA","Summerfest","Czech Pilsener",0.05,28,12
"124","Sierra Nevada Brewing Company","Chico"," CA","Sierra Nevada Pale Ale","American Pale Ale (APA)",0.056,37,12
"125","Sierra Nevada Brewing Company","Chico"," CA","Sierra Nevada Pale Ale","American Pale Ale (APA)",0.056,37,16
"126","Sierra Nevada Brewing Company","Chico"," CA","CANfusion Rye Bock","Rye Beer",0.06,NA,12
"127","Sierra Nevada Brewing Company","Chico"," CA","Yonder Bock","Maibock / Helles Bock",0.06,NA,12
"128","Sierra Nevada Brewing Company","Chico"," CA","Torpedo","American IPA",0.072,65,12
"129","Sierra Nevada Brewing Company","Chico"," CA","Torpedo","American IPA",0.072,65,16
"130","Sierra Nevada Brewing Company","Chico"," CA","Old Chico Crystal Wheat","American Pale Wheat Ale",0.048,26,12
"131","Sierra Nevada Brewing Company","Chico"," CA","Nooner","German Pilsener",0.052,NA,12
"132","Mission Brewery","San Diego"," CA","Cortez Gold","Belgian Pale Ale",0.05,NA,32
"133","Mission Brewery","San Diego"," CA","Mission IPA","American IPA",0.068,66,32
"134","Mission Brewery","San Diego"," CA","El Conquistador Extra Pale Ale","American Pale Ale (APA)",0.048,44,32
"135","Mission Brewery","San Diego"," CA","Shipwrecked Double IPA","American Double / Imperial IPA",0.092,75,32
"136","Mother Earth Brew Company","Vista"," CA","Cali Creamin'","Cream Ale",0.052,21,12
"137","Black Market Brewing Company","Temecula"," CA","Black Market Hefeweizen","Hefeweizen",0.05,8,12
"138","Black Market Brewing Company","Temecula"," CA","Deception","American Blonde Ale",0.045,16,12
"139","Black Market Brewing Company","Temecula"," CA","Aftermath Pale Ale","American Pale Ale (APA)",0.058,44,12
"140","Black Market Brewing Company","Temecula"," CA","Blackmarket Rye IPA","American IPA",0.075,35,12
"141","Anderson Valley Brewing Company","Boonville"," CA","Fall Hornin'","Pumpkin Ale",0.06,NA,12
"142","Anderson Valley Brewing Company","Boonville"," CA","Blood Orange Gose","Gose",0.042,NA,12
"143","Anderson Valley Brewing Company","Boonville"," CA","Summer Solstice","Cream Ale",0.056,4,12
"144","Anderson Valley Brewing Company","Boonville"," CA","Keebarlin' Pale Ale","American Pale Ale (APA)",0.042,NA,12
"145","Anderson Valley Brewing Company","Boonville"," CA","Barney Flats Oatmeal Stout","Oatmeal Stout",0.057,13,12
"146","Anderson Valley Brewing Company","Boonville"," CA","Hop Ottin' IPA","American IPA",0.07,80,12
"147","Anderson Valley Brewing Company","Boonville"," CA","Summer Solstice (2011)","Cream Ale",0.056,4,12
"148","Anderson Valley Brewing Company","Boonville"," CA","Boont Amber Ale (2010)","American Amber / Red Ale",0.058,15,12
"149","Anderson Valley Brewing Company","Boonville"," CA","Poleeko Gold Pale Ale (2009)","American Pale Ale (APA)",0.055,28,12
"150","Anderson Valley Brewing Company","Boonville"," CA","Boont Amber Ale","American Amber / Red Ale",0.058,15,12
"151","Anderson Valley Brewing Company","Boonville"," CA","Hop Ottin' IPA (2011)","American IPA",0.07,80,12
"152","Anderson Valley Brewing Company","Boonville"," CA","Barney Flats Oatmeal Stout (2012)","Oatmeal Stout",0.057,13,12
"153","Anderson Valley Brewing Company","Boonville"," CA","the Kimmie, the Yink and the Holy Gose","Gose",0.048,NA,12
"154","Anderson Valley Brewing Company","Boonville"," CA","Winter Solstice","Winter Warmer",0.069,6,12
"155","Anderson Valley Brewing Company","Boonville"," CA","Boont Amber Ale (2011)","American Amber / Red Ale",0.058,15,12
"156","Anderson Valley Brewing Company","Boonville"," CA","Summer Solstice Cerveza Crema (2009)","Cream Ale",0.056,4,12
"157","Anderson Valley Brewing Company","Boonville"," CA","Barney Flats Oatmeal Stout","Oatmeal Stout",0.057,13,12
"158","Anderson Valley Brewing Company","Boonville"," CA","El Steinber Dark Lager","Vienna Lager",0.055,25,16
"159","Modern Times Beer","San Diego"," CA","Lomaland","Saison / Farmhouse Ale",0.055,30,16
"160","Modern Times Beer","San Diego"," CA","Booming Rollers","American IPA",0.068,75,16
"161","Modern Times Beer","San Diego"," CA","Fortunate Islands","American Pale Wheat Ale",0.047,46,16
"162","Modern Times Beer","San Diego"," CA","City of the Sun","American IPA",0.075,85,16
"163","Modern Times Beer","San Diego"," CA","Oneida","American Pale Ale (APA)",0.052,50,16
"164","Modern Times Beer","San Diego"," CA","Blazing World","American Amber / Red Ale",0.065,115,16
"165","Modern Times Beer","San Diego"," CA","Aurora ","American Amber / Red Ale",0.067,75,16
"166","Modern Times Beer","San Diego"," CA","Black House","American Stout",0.058,40,16
"167","Refuge Brewery","Temecula"," CA","Blood Orange Wit","Witbier",0.05,16,16
"168","Golden Road Brewing","Los Angeles"," CA","Heal the Bay IPA","American IPA",0.068,65,16
"169","Golden Road Brewing","Los Angeles"," CA","Might As Well IPL","American Pale Lager",0.072,75,16
"170","Golden Road Brewing","Los Angeles"," CA","Wolf Among Weeds IPA","American IPA",0.08,70,16
"171","Golden Road Brewing","Los Angeles"," CA","Better Weather IPA","American IPA",0.094,92,16
"172","Golden Road Brewing","Los Angeles"," CA","Saison Pamplemousse","Saison / Farmhouse Ale",0.058,35,12
"173","Golden Road Brewing","Los Angeles"," CA","Get Up Offa That Brown","American Brown Ale",0.055,20,16
"174","Golden Road Brewing","Los Angeles"," CA","Point the Way IPA","American IPA",0.059,60,16
"175","Golden Road Brewing","Los Angeles"," CA","Cabrillo Kölsch","Kölsch",0.05,NA,16
"176","Golden Road Brewing","Los Angeles"," CA","Point the Way IPA","American IPA",0.059,60,12
"177","Golden Road Brewing","Los Angeles"," CA","Point the Way IPA (2012)","American IPA",0.059,60,16
"178","Golden Road Brewing","Los Angeles"," CA","2020 IPA","American IPA",0.074,74,16
"179","Golden Road Brewing","Los Angeles"," CA","Golden Road Hefeweizen","Hefeweizen",0.046,15,16
"180","Golden Road Brewing","Los Angeles"," CA","Golden Road Hefeweizen (2012)","Hefeweizen",0.046,15,16
"181","Golden Road Brewing","Los Angeles"," CA","Burning Bush Smoked IPA","American IPA",0.08,70,16
"182","Golden Road Brewing","Los Angeles"," CA","Wolf Among Weeds IPA (2012)","American IPA",0.08,70,16
"183","Santa Cruz Mountain Brewing","Santa Cruz"," CA","Giant DIPA","American Double / Imperial IPA",0.089,88,16
"184","Santa Cruz Mountain Brewing","Santa Cruz"," CA","Casinos IPA","English India Pale Ale (IPA)",0.07,NA,16
"185","Santa Cruz Mountain Brewing","Santa Cruz"," CA","Dread Brown Ale","American Brown Ale",0.054,NA,12
"186","Headlands Brewing Company","Mill Valley"," CA","Groupe G","Belgian IPA",0.076,65,16
"187","Headlands Brewing Company","Mill Valley"," CA","Hill 88 Double IPA","American Double / Imperial IPA",0.088,77,16
"188","Headlands Brewing Company","Mill Valley"," CA","Pt. Bonita Rustic Lager","American Pale Lager",0.062,40,16
"189","Saint Archer Brewery","San Diego"," CA","Saint Archer Blonde","Kölsch",0.048,22,12
"190","Saint Archer Brewery","San Diego"," CA","Saint Archer IPA","American IPA",0.068,66,12
"191","Saint Archer Brewery","San Diego"," CA","Saint Archer Pale Ale","American Pale Ale (APA)",0.052,40,12
"192","Saint Archer Brewery","San Diego"," CA","Saint Archer White Ale","Witbier",0.05,15,12
"193","Pine Street Brewery","San Francisco"," CA","Atom Splitter Pale Ale","American Pale Ale (APA)",0.05,NA,12
"194","Pine Street Brewery","San Francisco"," CA","Black Bay Milk Stout","Milk / Sweet Stout",0.05,NA,12
"195","Claremont Craft Ales","Claremont"," CA","Jacaranada Rye IPA","American IPA",0.067,60,16
"196","David's Ale Works","Diamond Springs"," CA","Sprocket Pale Ale (2006)","American Pale Ale (APA)",0.05,NA,12
"197","David's Ale Works","Diamond Springs"," CA","Sprocket Blonde Ale (2006)","American Blonde Ale",0.05,NA,12
"198","Manzanita Brewing Company","Santee"," CA","Riverwalk Blonde Ale","American Blonde Ale",0.06,25,12
"199","Manzanita Brewing Company","Santee"," CA","Manzanita Pale Ale","American Pale Ale (APA)",0.066,44,12
"200","Manzanita Brewing Company","Santee"," CA","Manzanita IPA","American IPA",0.08,88,12
"201","Manzanita Brewing Company","Santee"," CA","Gillespie Brown Ale","American Brown Ale",0.095,49,12
"202","Manzanita Brewing Company","Santee"," CA","Chaotic Double IPA","American Double / Imperial IPA",0.099,93,12
"203","Central Coast Brewing Company","San Luis Obispo"," CA","Catch 23","American Black Ale",0.075,77,16
"204","Central Coast Brewing Company","San Luis Obispo"," CA","Lucky Day IPA","American IPA",0.072,85,16
"205","Central Coast Brewing Company","San Luis Obispo"," CA","Chai Ale","Herbed / Spiced Beer",0.051,15,16
"206","Central Coast Brewing Company","San Luis Obispo"," CA","Terrace Hill Double IPA","American Double / Imperial IPA",0.095,99,16
"207","21st Amendment Brewery","San Francisco"," CA","Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",0.049,17,12
"208","21st Amendment Brewery","San Francisco"," CA","Bitter American","American Pale Ale (APA)",0.044,42,12
"209","21st Amendment Brewery","San Francisco"," CA","Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",0.049,17,12
"210","21st Amendment Brewery","San Francisco"," CA","21st Amendment Watermelon Wheat Beer (2006)","Fruit / Vegetable Beer",0.049,17,12
"211","21st Amendment Brewery","San Francisco"," CA","Bitter American (2011)","American Pale Ale (APA)",0.044,42,12
"212","21st Amendment Brewery","San Francisco"," CA","Monk's Blood","Belgian Dark Ale",0.083,35,12
"213","21st Amendment Brewery","San Francisco"," CA","Fireside Chat","Winter Warmer",0.079,45,12
"214","21st Amendment Brewery","San Francisco"," CA","Marooned On Hog Island","American Stout",0.079,NA,12
"215","21st Amendment Brewery","San Francisco"," CA","Brew Free! or Die IPA (2008)","American IPA",0.07,70,12
"216","21st Amendment Brewery","San Francisco"," CA","Hell or High Watermelon Wheat","Fruit / Vegetable Beer",0.049,17,12
"217","21st Amendment Brewery","San Francisco"," CA","Brew Free! or Die IPA (2009)","American IPA",0.07,70,12
"218","21st Amendment Brewery","San Francisco"," CA","Fireside Chat (2010)","Winter Warmer",0.079,45,12
"219","21st Amendment Brewery","San Francisco"," CA","Brew Free! or Die IPA","American IPA",0.07,65,12
"220","21st Amendment Brewery","San Francisco"," CA","He Said Belgian-Style Tripel","Tripel",0.082,NA,12
"221","21st Amendment Brewery","San Francisco"," CA","Special Edition: Allies Win The War!","English Strong Ale",0.085,52,12
"222","21st Amendment Brewery","San Francisco"," CA","Back in Black","American Black Ale",0.068,65,12
"223","21st Amendment Brewery","San Francisco"," CA","Hop Crisis","American Double / Imperial IPA",0.097,94,12
"224","21st Amendment Brewery","San Francisco"," CA","Lower De Boom","American Barleywine",0.099,92,8.4
"225","21st Amendment Brewery","San Francisco"," CA","He Said Baltic-Style Porter","Baltic Porter",0.082,NA,12
"226","21st Amendment Brewery","San Francisco"," CA","21st Amendment IPA (2006)","American IPA",0.07,70,12
"227","Pizza Port Brewing Company","Carlsbad"," CA","Chronic Ale","American Amber / Red Ale",0.049,NA,16
"228","Pizza Port Brewing Company","Carlsbad"," CA","PONTO S.I.P.A.","American IPA",0.045,NA,16
"229","Pizza Port Brewing Company","Carlsbad"," CA","Swami's India Pale Ale","American IPA",0.068,NA,16
"230","Ruhstaller Beer Company","Sacramento"," CA","1881 California Red","American Amber / Red Ale",0.056,35,12
"231","Ruhstaller Beer Company","Sacramento"," CA","CAPT Black IPA","American Black Ale",0.073,55,12
"232","Ruhstaller Beer Company","Sacramento"," CA","Ruhstaller's Gilt Edge Lager Beer","American Amber / Red Lager",0.048,42,12
"233","Ruhstaller Beer Company","Sacramento"," CA","1881 California Red Ale","American Amber / Red Ale",0.056,35,16
"234","Ruhstaller Beer Company","Sacramento"," CA","CAPT Black IPA","American Black Ale",0.073,55,16
"235","Hess Brewing Company","San Diego"," CA","Ex Umbris Rye Imperial Stout","American Double / Imperial Stout",0.099,85,16
"236","Hess Brewing Company","San Diego"," CA","Grazias","Cream Ale",0.063,30,16
"237","Hess Brewing Company","San Diego"," CA","Habitus IPA","American IPA",0.08,86,16
"238","Seabright Brewery","Santa Cruz"," CA","Blur India Pale Ale","American IPA",0.074,60,12
"239","Mavericks Beer Company","Half Moon Bay"," CA","Pit Stop Chocolate Porter","American Porter",0.037,34,12
"240","Mavericks Beer Company","Half Moon Bay"," CA","Back in the Saddle Rye Pale Ale","American Pale Ale (APA)",0.037,53,12
"241","Mavericks Beer Company","Half Moon Bay"," CA","Pace Setter Belgian Style Wit","Witbier",0.037,21,12
"242","TailGate Beer","San Diego"," CA","Dodgy Knight Imperial IPA","American Double / Imperial IPA",0.08,95,12
"243","TailGate Beer","San Diego"," CA","TailGate Saison","Saison / Farmhouse Ale",0.05,NA,12
"244","TailGate Beer","San Diego"," CA","TailGate Hefeweizen","Hefeweizen",0.049,28,24
"245","TailGate Beer","San Diego"," CA","TailGate IPA","American IPA",0.05,44,24
"246","TailGate Beer","San Diego"," CA","TailGate IPA","American IPA",0.05,44,12
"247","TailGate Beer","San Diego"," CA","Blacktop Blonde","American Blonde Ale",0.05,19,24
"248","TailGate Beer","San Diego"," CA","Blacktop Blonde","American Blonde Ale",0.05,19,12
"249","TailGate Beer","San Diego"," CA","TailGate Hefeweizen","Hefeweizen",0.049,28,12
"250","Armstrong Brewing Company","South San Francisco"," CA","Mo's Gose","Gose",0.052,10,16
"251","Hangar 24 Craft Brewery","Redlands"," CA","Hangar 24 Helles Lager","Munich Helles Lager",0.043,14,12
"252","Hangar 24 Craft Brewery","Redlands"," CA","Orange Wheat","Fruit / Vegetable Beer",0.046,17,12
"253","Devil's Canyon Brewery","Belmont"," CA","Deadicated Amber","American Amber / Red Ale",0.054,27,16
"254","Devil's Canyon Brewery","Belmont"," CA","Kaleidoscope Collaboration 2012","American Black Ale",NA,NA,16
"255","Devil's Canyon Brewery","Belmont"," CA","Full Boar Scotch Ale","Scotch Ale / Wee Heavy",0.074,12,16
"256","Devil's Canyon Brewery","Belmont"," CA","California Sunshine Rye IPA","American IPA",0.071,85,16
"257","Monkey Paw Pub & Brewery","San Diego"," CA","Rich Man's IIPA","American Double / Imperial IPA",0.087,NA,16
"258","Monkey Paw Pub & Brewery","San Diego"," CA","Monkey Paw Oatmeal Pale Ale","American Pale Ale (APA)",0.058,NA,16
"259","Monkey Paw Pub & Brewery","San Diego"," CA","Sweet Georgia Brown","American Brown Ale",0.054,NA,16
"260","Butcher's Brewing","Carlsbad"," CA","Mucho Aloha Hawaiian Pale Ale","American Pale Ale (APA)",0.056,36,12
"261","Uncommon Brewers","Santa Cruz"," CA","Siamese twin","Dubbel",0.085,NA,16
"262","Uncommon Brewers","Santa Cruz"," CA","Golden State Ale","Belgian Pale Ale",0.064,NA,16
"263","Uncommon Brewers","Santa Cruz"," CA","Baltic Porter","Baltic Porter",0.078,NA,16
"264","Uncommon Brewers","Santa Cruz"," CA","Bacon Brown Ale","American Brown Ale",0.068,NA,16
"265","Uncommon Brewers","Santa Cruz"," CA","Scotty K NA","Low Alcohol Beer",0.001,NA,16
"266","Mammoth Brewing Company","Mammoth Lakes"," CA","Epic IPA","American IPA",0.065,NA,12
